Resort ID,NameResort
785,Arabba/Marmolada
786,. San Martino di Castrozza
787,. Racines-Giovo (Ratschings-Jaufen)/Malga Calice (Kalcheralm)
788,. Folgaria/Fiorentini
789,. Civetta – Alleghe/Selva di Cadore/Palafavera/Zoldo
790, Plose – Brixen (Bressanone)
791,Alagna Valsesia/Gressoney-La-Trinité/Champoluc/Frachey (Monterosa Ski)
792,Cortina d'Ampezzo
793,. Alpe Lusia – Moena/Bellamonte
794,. Ladurns
795,. Monte Bondone
796,. Alpe Cermis – Cavalese
797,. Rosskopf (Monte Cavallo) – Sterzing (Vipiteno)
798,. Pejo 3000
799,. Catinaccio/Ciampedie – Vigo di Fassa/Pera di Fassa
800,. Meran 2000
801, Val Senales Glacier (Schnalstaler Gletscher)
802, Schwemmalm
803, Sulden am Ortler (Solda all'Ortles)
804,. Reinswald (San Martino in Sarentino)
805,. Pfelders (Moos in Passeier)
806,bardonecchia
807,alto-sangro-roccarasorivisondoli
808,. Watles – Malles Venosta (Mals)
809, Bormio – Cima Bianca
810,mondole-ski-artesinafrabosa-sopranaprato-nevoso
811,. Lavarone
812,aprica
813,riserva-bianca-limone-piemonte
814,pila
815,cimone-montecretosestolale-polle
816,. Santa Caterina Valfurva
817,valchiavenna-madesimocampodolcino
818,san-domenico-alpe-ciamporino
819,courmayeur-checrouitval-veny
820,abetoneval-di-luce
821,pragelato
822,campo-felice-rocca-di-cambio
823,zoncolan-ravasclettosutrio
824,tarvisio-monte-lussari
825,piani-di-bobbio
826,montecampione-alpiazprato-secondinoplan-di-montecampione
827,. San Vito di Cadore
828,valmalenco-alpe-palu
829,torgnon
830,sangiacomocardini-monte-alpet
831,rittner-horn-corno-del-renon-ritten-renon
832,piana-di-vigezzo-craveggiasanta-maria-maggiore
833,padola-ski-area-comelico
834,monte-magnola-ovindoli
835,macugnaga
836,lorica
837,lagazuoi5-torri-passo-giaupasso-falzarego
838,foppolocarona-brembo-ski
839,champorcher
840,antagnod
841,. Passo dello Stelvio (Stelvio Pass)
842,baranci-haunold-san-candido-innichen
843,prati-di-tivo
844,piancavallo
845,passo-maniva
846,gressoney-saint-jean-weissmatten
847,gran-sasso-campo-imperatore
848,forni-di-sopra
849,crissolo-monviso
850,crevacol
851,cima-piazzisan-colombano-isolacciaoga
852,campitello-matese
853,altopiano-di-brentonico-polsasan-valentino
854,alpe-del-nevegal
855,spiazzi-di-gromo
856,sappada
857,sampeyre
858,pian-mune-paesana
859,pescasseroli
860,panarotta-2002-valsugana
861,monte-verena-mezzaselva-di-roana
862,lizzola
863,laceno-bagnoli-irpino
864,corno-alle-scale-lizzano-in-belvedere
865,colere
866,chiomonte-frais
867,campo-stella-leonessa
868,bielmonte
869,auronzo-di-cadore-monte-agudo
870,argentera
871,alpe-di-mera-scopello
